PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,FURNISH,AGE,FLOOR_NUM,TOTAL_FLOOR,SUPERBUILTUP_SQFT,PRICE,LOCALITY_WO_CITY,stories
S,Independent/Builder Floor,3.0,3.0,3.0,10500.0,Furnished,Under Construction,15.0,15.0,1579.0,1.66,Sector 113 Gurgaon,single
S,Independent/Builder Floor,4.0,4.0,2.0,7959.714100064977,Semi-furnished,0-1,2.0,4.0,3078.0,2.45,Sector 57,single
S,Independent/Builder Floor,4.0,4.0,2.0,8122.157244964263,Semi-furnished,0-1,1.0,4.0,3078.0,2.5,Sector 57,single
S,Independent/Builder Floor,4.0,4.0,2.0,10139.416983523448,Semi-furnished,0-1,1.0,4.0,2367.0,2.4,Sector 57,single
S,Independent/Builder Floor,3.0,3.0,2.0,10265.700483091789,Semi-furnished,0-1,4.0,4.0,1656.0,1.7,Sector 57,single
S,Independent/Builder Floor,3.0,3.0,2.0,10620.91503267974,Semi-furnished,0-1,4.0,4.0,1836.0,1.95,Sector 57,single
S,Independent/Builder Floor,4.0,4.0,2.0,10721.247563352828,Semi-furnished,0-1,1.0,4.0,3078.0,3.3,Sector 57,single
S,Residential Apartment,3.0,4.0,3.0,14290.0,Semi-furnished,1-5,4.0,11.0,2974.0,4.25,Sector 59,single
S,Residential Apartment,4.0,4.0,3.0,14839.0,Semi-furnished,5-10,8.0,25.0,2527.0,3.75,Sector 62,single
S,Residential Apartment,3.0,3.0,3.0,8173.0,Semi-furnished,Under Construction,7.0,20.0,1790.0,1.23,Sector 37C,single
S,Residential Apartment,3.0,4.0,4.0,16753.0,Semi-furnished,5-10,3.0,18.0,2895.0,4.85,Sector 53,single
S,Residential Apartment,3.0,4.0,4.0,17098.0,Semi-furnished,5-10,4.0,18.0,2895.0,4.95,Sector 53,single
S,Residential Apartment,3.0,4.0,3.0,13937.0,Semi-furnished,1-5,2.0,12.0,2583.0,3.6,Sector 28,single
S,Residential Apartment,2.0,2.0,3.0,15646.0,Semi-furnished,1-5,3.0,51.0,1470.0,2.3,Sector 67,single
S,Residential Apartment,3.0,4.0,3.0,23913.0,Furnished,1-5,25.0,30.0,2300.0,5.5,Sector 54,single
S,Residential Apartment,4.0,4.0,4.0,12500.0,Semi-furnished,Under Construction,11.0,28.0,2570.0,3.21,Sector 113 Gurgaon,single
S,Residential Apartment,4.0,4.0,4.0,12500.0,Semi-furnished,Under Construction,11.0,28.0,2510.0,3.14,Sector 113 Gurgaon,single
S,Residential Apartment,4.0,4.0,4.0,15500.0,Semi-furnished,Under Construction,10.0,38.0,2717.0,4.21,Sector 106,single
S,Residential Apartment,3.0,3.0,3.0,15500.0,Semi-furnished,Under Construction,9.0,38.0,2600.0,4.03,Sector 106,single
S,Residential Apartment,3.0,3.0,2.0,11396.0,Semi-furnished,Under Construction,8.0,36.0,1665.0,1.9,Sector 113 Gurgaon,single
