PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,FURNISH,AGE,FLOOR_NUM,SUPERBUILTUP_SQFT,TOP_USPS,PRICE,FORMATTED_LANDMARK_DETAILS,SOCIETY_NAME,BUILDING_NAME,LOCALITY_WO_CITY,FEATURES_LIST,stories
S,Residential Apartment,4.0,4.0,4.0,8766.0,Semi-furnished,5-10,14.0,3434.0,"['North Facing', 'Recently Renovated', 'Gated Society', 'Corner Property']",2.63,"[{'category': 'Shopping', 'text': '4 Shoppings', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Bank', 'text': '1 Banks', 'className': 'bnk', 'icon': 'https://static.99acres.com/universalapp/img/bnk.png'}, {'category': 'Park', 'text': '1 Park', 'className': 'prk', 'icon': 'https://static.99acres.com/universalapp/img/prk.png'}, {'category': 'Miscellaneous', 'text': '1 Miscellaneous', 'className': 'oldhme', 'icon': 'https://static.99acres.com/universalapp/img/oldhme.png'}]",Alpha Corp GurgaonOne 84,Alpha Corp GurgaonOne 84,Sector 84,"['Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Near Bank', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']",single
S,Residential Apartment,4.0,4.0,3.0,21176.0,Semi-furnished,1-5,7.0,2870.0,"['North Facing', ""st. xavier's within 500m"", 'apollo miracle within 1km', 'Gated Society']",3.6,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '2 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}]",DLF The Ultima,DLF The Ultima,Sector 81,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Centrally Air Conditioned', 'Maintenance Staff', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",single
S,Residential Apartment,3.0,3.0,3.0,13740.0,Semi-furnished,1-5,14.0,2802.0,"['Gated Society', 'Overlooking Park/Garden', 'Fitness Center/ Gym', 'Club/ Community Center']",3.85,"[{'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '2 Hospitals', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}]",Experion Windchants,Experion Windchants,Sector 112,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",single
S,Residential Apartment,3.0,4.0,4.0,8515.0,Semi-furnished,1-5,4.0,2290.0,"['Gated Society', 'Overlooking Park/Garden', 'Fitness Center/ Gym', 'Club/ Community Center']",1.95,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '2 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '3 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'AmusementPark', 'text': '1 Amusement Park', 'className': 'amprk', 'icon': 'https://static.99acres.com/universalapp/img/amprk.png'}, {'category': 'GolfCourse', 'text': '1 Golf Course', 'className': 'golf', 'icon': 'https://static.99acres.com/universalapp/img/golf.png'}]",ATS Triumph,ATS Triumph,Sector 104,"['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",single
S,Residential Apartment,2.0,2.0,3.0,11571.0,Unfurnished,0-1,12.0,1400.0,"['East Facing', 'Fresh Construction', 'Fitness Center/ Gym', 'Club/ Community Center']",1.62,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'AmusementPark', 'text': '1 Amusement Park', 'className': 'amprk', 'icon': 'https://static.99acres.com/universalapp/img/amprk.png'}, {'category': 'GolfCourse', 'text': '1 Golf Course', 'className': 'golf', 'icon': 'https://static.99acres.com/universalapp/img/golf.png'}, {'category': 'Stadium', 'text': '1 Stadium', 'className': 'stdm', 'icon': 'https://static.99acres.com/universalapp/img/stdm.png'}]",M3M Skywalk,M3M Skywalk,Sector 74,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center']",single
S,Independent/Builder Floor,3.0,3.0,3.0,8067.473414008067,Semi-furnished,1-5,0.0,2727.0,"['Ground Floor', 'Gated Society', 'Fitness Center/ Gym', 'Club/ Community Center']",2.2,"[{'category': 'Shopping', 'text': '2 Shoppings', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '1 Education', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'Park', 'text': '1 Park', 'className': 'prk', 'icon': 'https://static.99acres.com/universalapp/img/prk.png'}, {'category': 'Club', 'text': '1 Club', 'className': 'clb', 'icon': 'https://static.99acres.com/universalapp/img/clb.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'Miscellaneous', 'text': '1 Miscellaneous', 'className': 'oldhme', 'icon': 'https://static.99acres.com/universalapp/img/oldhme.png'}]",BPTP Amstoria,BPTP Amstoria,Sector 102,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']",single
S,Residential Apartment,4.0,4.0,4.0,15463.0,Semi-furnished,1-5,39.0,4850.0,,7.5,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '1 Education', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'Park', 'text': '1 Park', 'className': 'prk', 'icon': 'https://static.99acres.com/universalapp/img/prk.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}]",Ireo Skyon,Ireo Skyon,Sector 60,"['Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",single
S,Residential Apartment,2.0,2.0,3.0,11428.0,Unfurnished,0-1,16.0,1400.0,"['East Facing', 'Fresh Construction', 'Overlooking Park/Garden', 'Overlooking Main Road']",1.6,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'AmusementPark', 'text': '1 Amusement Park', 'className': 'amprk', 'icon': 'https://static.99acres.com/universalapp/img/amprk.png'}, {'category': 'GolfCourse', 'text': '1 Golf Course', 'className': 'golf', 'icon': 'https://static.99acres.com/universalapp/img/golf.png'}, {'category': 'Stadium', 'text': '1 Stadium', 'className': 'stdm', 'icon': 'https://static.99acres.com/universalapp/img/stdm.png'}]",M3M Skywalk,M3M Skywalk,Sector 74,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Piped-gas', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",single
S,Residential Apartment,3.0,3.0,2.0,23648.0,Semi-furnished,1-5,4.0,1950.0,,3.5,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '2 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'AmusementPark', 'text': '1 Amusement Park', 'className': 'amprk', 'icon': 'https://static.99acres.com/universalapp/img/amprk.png'}, {'category': 'GolfCourse', 'text': '1 Golf Course', 'className': 'golf', 'icon': 'https://static.99acres.com/universalapp/img/golf.png'}, {'category': 'Stadium', 'text': '1 Stadium', 'className': 'stdm', 'icon': 'https://static.99acres.com/universalapp/img/stdm.png'}]",Emaar MGF The Palm Drive,Emaar MGF The Palm Drive,Sector 66,"['Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",single
S,Residential Apartment,5.0,5.0,4.0,11597.0,Semi-furnished,1-5,14.0,3880.0,"['Gated Society', 'Overlooking Park/Garden', 'Fitness Center/ Gym', 'Club/ Community Center']",4.5,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '2 Shoppings', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '2 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'AmusementPark', 'text': '1 Amusement Park', 'className': 'amprk', 'icon': 'https://static.99acres.com/universalapp/img/amprk.png'}, {'category': 'Miscellaneous', 'text': '3 Miscellaneouss', 'className': 'oldhme', 'icon': 'https://static.99acres.com/universalapp/img/oldhme.png'}]",Indiabulls Enigma,Indiabulls Enigma,Sector 110,"['Power Back-up', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",single
