,LATITUDE,LONGITUDE
5581, '28.444091', '76.967096'
5582, '28.444091', '76.967096'
5583, '28.44673', '77.09355'
5584, '28.421561', '77.101017'
5585, '28.36235', '76.97871'
5586, '28.36235', '76.97871'
5587, '28.36235', '76.97871'
5588, '28.3866865', '76.9484624'
5589, '28.4011028', '76.9196505'
5590, '28.4746969', '76.9686267'
5591, '28.451194', '76.989289'
5592, '28.451194', '76.989289'
5593, '28.4493788', '77.0677228'
5594, '28.451194', '76.989289'
5595, '28.530129', '77.026134'
5596, '28.42348', '77.08451'
5597, '28.4299109', '77.0941938'
5598, '28.3990776', '77.1020169'
5599, '28.4256506', '77.099613'
5600, '28.4234414', '77.0765927'
5601, '28.4256506', '77.099613'
5602, '28.418353', '77.053084'
5603, '28.418353', '77.053084'
5604, '28.4256506', '77.099613'
5605, '28.4256506', '77.099613'
5606, '28.399559', '77.061027'
5607, '28.3986602', '77.1021685'
5608, '28.449741', '77.04139'
5609, '28.4234414', '77.0765927'
5610, '28.454279', '77.085314'
5611, '28.390321', '76.962064'
5612, '28.418353', '77.053084'
5613, '28.401575', '77.10647'
5614, '28.441278', '77.077759'
5615, '28.401406', '77.050549'
5616, '28.42775', '77.05034'
5617, '28.424305', '77.061575'
5618, '28.391068', '76.96454'
5619, '28.3993997', '76.9703234'
5620, '28.4160426', '77.0593246'
5621, '28.4160426', '77.0593246'
5622, '28.45135', '76.9888'
5623, '28.43852', '76.97586'
5624, '28.3971448', '77.0866646'
5625, '28.392063', '76.957229'
5626, '28.399772', '76.968991'
5627, '28.4595', '77.02664'
5628, '28.409324', '77.045716'
5629, '28.409324', '77.045716'
5630, '28.409324', '77.045716'
5631, '28.4085198', '76.9369384'
5632, '28.391640123846', '77.065127854166'
5633, '28.4153994', '77.037736'
5634, '28.388365', '76.979201'
5635, '28.4011028', '76.9196505'
5636, '28.405628', '76.926043'
5637, '28.392382', '77.089173'
5638, '28.390392', '76.969342'
5639, '28.409208', '76.925732'
5640, '28.4345552', '77.0578855'
5641, '28.4352252', '77.0516456'
5642, '28.393486', '77.018605'
5643, '28.386048', '77.0607637'
5644, '28.385549', '77.017135'
5645, '28.423345', '77.037523'
5646, '28.420457', '77.038483'
5647, '28.421561', '77.101017'
5648, '28.494765', '77.098533'
5649, '28.507656', '77.003368'
5650, '28.396218', '76.9351957'
5651, '28.3801295', '76.9844677'
5652, '28.276076', '77.056507'
5653, '28.50471', '77.0187'
5654, '28.51838', '77.0319'
5655, '28.51838', '77.0319'
5656, '28.416575', '77.025941'
5657, '28.5085746', '77.0075055'
5658, '28.42775', '77.05034'
5659, '28.455542686641', '76.9733897433'
5660, '28.356562', '76.973291'
5661, '28.356562', '76.973291'
5662, '28.4093404', '76.956789'
5663, '28.47805', '77.074159'
5664, '28.38922', '77.0551'
5665, '28.42775', '77.05034'
5666, '28.42348', '77.08451'
5667, '28.4234414', '77.0765927'
5668, '28.4234414', '77.0765927'
5669, '28.4234414', '77.0765927'
5670, '28.47805', '77.074159'
5671, '28.4256506', '77.099613'
5672, '28.4234414', '77.0765927'
5673, '28.41933', '77.0882'
5674, '28.398753', '77.072105'
5675, '28.389679', '77.059355'
5676, '28.44673', '77.09355'
5677, '28.3983448', '77.0720406'
5678, '28.446282', '76.954775'
5679, '28.4164', '77.01262'
5680, '28.391640123846', '77.065127854166'
5681, '28.4056704', '77.070837'
5682, '28.407289', '77.069686'
5683, '28.4075919', '77.0718284'
5684, '28.4056704', '77.070837'
5685, '28.514114', '77.072723'
5686, '28.503576', '77.065435'
5687, '28.5129305', '77.037736'
5688, '28.503576', '77.065435'
5689, '28.503576', '77.065435'
5690, '28.481216', '77.063523'
5691, '28.512097', '77.064145'
5692, '28.419416', '77.0858866'
5693, '28.393967', '76.959507'
5694, '28.4169252794329', '77.0819210519943'
5695, '28.4889627', '77.0866646'
5696, '28.4754909', '77.1032095'
5697, '28.41201', '77.09085'
5698, '28.449548', '77.101515'
5699, '28.493323', '77.103962'
5700, '28.475081', '77.108819'
5701, '28.475081', '77.108819'
5702, '28.475081', '77.108819'
5703, '28.475081', '77.108819'
5704, '28.449548', '77.101515'
5705, '28.449548', '77.101515'
5706, '28.45382', '77.09956'
5707, '28.45382', '77.09956'
5708, '28.45919', '77.10224'
5709, '28.45919', '77.10224'
5710, '28.444951', '77.111544'
5711, '28.443185', '77.108897'
5712, '28.416234', '77.042805'
