,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,AGE,SUPERBUILTUP_SQFT,PRICE,LOCALITY_WO_CITY,total_facilities,furnishing_type
70,3.0,3.0,4.0,29000.0,1-5,1800.0,5.22,Sector 37D,3,0
71,3.0,3.0,2.0,19200.0,1-5,1185.0,2.2752,Sector 37D,2,0
72,3.0,3.0,3.0,9106.0,1-5,1702.0,1.55,Sector 90,3,0
73,3.0,4.0,4.0,6546.0,0-1,1940.0,1.27,Sector 103,1,0
74,3.0,4.0,4.0,7357.0,1-5,1991.0,1.1,Sector 103,4,0
75,3.0,2.0,2.0,10669.0,Under Construction,1359.0,1.45,Sector 104,5,0
76,5.0,5.0,2.0,21800.0,1-5,2500.0,5.45,Sector 63,2,1
77,2.0,2.0,3.0,6192.0,1-5,1534.0,0.95,Sector 107,2,1
78,4.0,4.0,2.0,14026.0,10+,1711.0,2.4,DLF Phase 2,3,0
79,3.0,3.0,4.0,13526.0,0-1,2802.0,3.79,Sector 112,4,0
80,2.0,2.0,2.0,17378.0,Under Construction,1381.0,2.4,Sector 108,5,0
81,3.0,3.0,2.0,12368.0,0-1,1900.0,2.35,Malibu Town,2,0
82,4.0,4.0,2.0,10750.0,1-5,2000.0,2.15,Sector 63,4,0
83,3.0,3.0,2.0,10499.0,1-5,1800.0,1.89,Sector 63A,6,0
84,3.0,3.0,2.0,10500.0,1-5,1800.0,1.89,Sector 63A,5,0
85,3.0,3.0,2.0,10210.0,1-5,1850.0,1.89,Sector 63A,5,0
86,2.0,2.0,1.0,15200.0,1-5,605.0,0.9196,Sector 102,4,1
87,3.0,3.0,2.0,5108.96748838871,5-10,2799.0,1.43,Uppals Southend,2,1
88,2.0,2.0,3.0,19300.0,1-5,1380.0,2.6634,Sector 37D,4,0
89,3.0,3.0,3.0,29400.0,1-5,1800.0,5.292,Sector 37D,3,0
90,3.0,4.0,4.0,7229.0,1-5,2000.0,1.07,Sector 103,4,0
91,2.0,2.0,3.0,11326.0,1-5,1536.0,1.05,Sector 107,2,0
92,4.0,5.0,4.0,5494.0,1-5,2639.0,1.45,Sector 103,4,0
93,3.0,3.0,3.0,8000.0,1-5,1750.0,1.4,Sector 90,3,0
94,3.0,4.0,4.0,9304.0,0-1,1999.0,1.86,Sector 68,5,0
95,4.0,5.0,4.0,24691.35802469136,0-1,3240.0,8.0,Sector 48,3,0
96,2.0,2.0,3.0,11111.0,Under Construction,1215.0,1.35,Sector 102,4,1
97,2.0,2.0,2.0,11275.0,0-1,1215.0,1.37,Sector 102,4,0
98,3.0,3.0,4.0,10227.0,1-5,2361.0,1.8,Sector 107,2,0
99,3.0,3.0,4.0,9520.0,1-5,1943.0,1.39,Sector 107,2,0
100,4.0,4.0,2.0,9629.0,0-1,2700.0,2.6,Sector 48,2,1
