PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,FURNISH,AGE,FLOOR_NUM,SUPERBUILTUP_SQFT,PRICE,SOCIETY_NAME,LOCALITY_WO_CITY,FEATURES_LIST,stories,nearby_facilities
S,Residential Apartment,3.0,4.0,4.0,20370.0,Semi-furnished,1-5,33.0,2430.0,4.95,M3M Latitude,Sector 65,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Metro', 'School/College', 'Hospital']"
S,Residential Apartment,2.0,2.0,3.0,10699.0,Semi-furnished,1-5,8.0,1215.0,1.3,Shapoorji Pallonji Joyville Gurugram,Sector 102,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",single,"['Railway', 'School/College', 'Hospital', 'Airport']"
S,Independent/Builder Floor,3.0,3.0,2.0,12105.0,Semi-furnished,Under Construction,2.0,1250.0,1.15,Signature Global City,Sector 37D,"['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Railway', 'School/College', 'Hospital', 'Airport']"
S,Residential Apartment,3.0,3.0,3.0,12612.0,Semi-furnished,Under Construction,12.0,1665.0,2.1,M3M Capital,Sector 113 Gurgaon,"['Lift(s)', 'Swimming Pool', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,4.0,5.0,2.0,17517.0,Semi-furnished,1-5,5.0,3625.0,6.35,Emaar Mgf Sky Terraces,Sector 66,"['Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Bank/ATM', 'Hospital']"
S,Residential Apartment,3.0,3.0,2.0,16000.0,Furnished,0-1,7.0,2200.0,3.56,Puri Diplomatic Greens,Sector 111,"['Security / Fire Alarm', 'Power Back-up', 'Lift(s)', 'Water purifier', 'Water Storage', 'Swimming Pool', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']",single,"['Metro', 'School/College', 'Hospital', 'Airport']"
S,Residential Apartment,3.0,3.0,2.0,13000.0,Furnished,0-1,2.0,1700.0,2.25,Puri Diplomatic Greens,Sector 111,"['Security / Fire Alarm', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Swimming Pool', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",single,"['Metro', 'School/College', 'Hospital', 'Airport']"
S,Residential Apartment,3.0,3.0,2.0,18138.0,Semi-furnished,1-5,9.0,3363.0,6.1,M3M Golfestate,Sector 65,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Independent/Builder Floor,3.0,3.0,2.0,10335.9173126615,Semi-furnished,0-1,4.0,1935.0,2.0,,Sushant Lok Phase 3,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Visitor Parking']",single,"['Bank/ATM', 'Park', 'Hospital']"
S,Residential Apartment,3.0,3.0,3.0,16550.0,Semi-furnished,0-1,10.0,2567.0,4.25,Emaar Digihomes,Sector 62,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Park', 'Railway', 'School/College', 'Hospital', 'Airport']"
