,PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,FURNISH,AGE,FLOOR_NUM,TOTAL_FLOOR,SUPERBUILTUP_SQFT,PRICE,LOCALITY_WO_CITY,stories
9219,S,Independent/Builder Floor,4.0,4,3.0,15625.0,Furnished,0-1,2.0,4.0,2400.0,3.75,DLF Phase 1,single
9220,S,Independent/Builder Floor,4.0,4,2.0,15714.0,Semi-furnished,0-1,1.0,4.0,3500.0,5.5,DLF Phase 1,single
9221,S,Independent/Builder Floor,3.0,3,2.0,19642.0,Semi-furnished,0-1,1.0,4.0,1600.0,2.75,DLF Phase 1,single
9222,S,Independent/Builder Floor,4.0,4,2.0,12962.0,Semi-furnished,0-1,1.0,4.0,2700.0,3.5,DLF Phase 4,single
9223,S,Independent/Builder Floor,4.0,5,4.0,11739.0,Semi-furnished,0-1,0.0,3.0,2300.0,2.7,Sushant Lok Phase 1,single
9224,S,Independent House/Villa,4.0,4,3.0,30555.555555555555,Furnished,1-5,4.0,4.0,540.0,1.65,Sushant Lok Phase 1,multi
9225,S,Independent/Builder Floor,3.0,3,2.0,20588.0,Semi-furnished,0-1,1.0,4.0,1700.0,3.5,DLF Phase 1,single
9226,S,Independent/Builder Floor,4.0,4,2.0,22826.0,Semi-furnished,0-1,1.0,4.0,2300.0,5.25,DLF Phase 2,single
9227,S,Independent/Builder Floor,3.0,3,2.0,14062.0,Semi-furnished,0-1,1.0,4.0,1600.0,2.25,Sushant Lok Phase 1,single
9228,S,Independent/Builder Floor,4.0,4,2.0,22000.0,Semi-furnished,0-1,1.0,4.0,2500.0,5.5,Sushant Lok Phase 1,single
9229,S,Independent/Builder Floor,4.0,4,2.0,17045.0,Semi-furnished,0-1,3.0,4.0,2200.0,3.75,Sushant Lok Phase 1,single
9230,S,Independent/Builder Floor,3.0,3,2.0,12375.0,Semi-furnished,0-1,3.0,4.0,1600.0,1.98,Sushant Lok Phase 1,single
9231,S,Independent/Builder Floor,4.0,4,2.0,19375.0,Semi-furnished,0-1,2.0,4.0,2400.0,4.65,DLF Phase 1,single
9232,S,Independent/Builder Floor,3.0,4,2.0,16060.0,Semi-furnished,0-1,1.0,4.0,1650.0,2.65,Sushant Lok Phase 1,single
9234,S,Independent/Builder Floor,3.0,3,1.0,12500.0,Semi-furnished,10+,0.0,3.0,1800.0,2.25,DLF Phase 2,single
9236,S,Residential Apartment,1.0,1,1.0,5263.0,Furnished,0-1,9.0,14.0,418.0,0.22,Sector 90,single
9237,S,Residential Apartment,4.0,5,2.0,9532.0,Semi-furnished,0-1,8.0,20.0,2675.0,2.55,Sector 79,single
9238,S,Residential Apartment,3.0,3,3.0,8337.0,Semi-furnished,0-1,14.0,20.0,2015.0,1.68,Sector 79,single
9239,S,Residential Apartment,3.0,4,3.0,8465.0,Semi-furnished,0-1,10.0,20.0,2150.0,1.82,Sector 79,single
9240,S,Residential Apartment,2.0,1,2.0,11111.0,Semi-furnished,10+,4.0,10.0,900.0,1.0,Sector 56,single
9241,S,Residential Apartment,2.0,2,2.0,9375.0,Unfurnished,5-10,1.0,4.0,800.0,0.75,Sector 56,single
9242,S,Residential Apartment,3.0,3,4.0,7692.0,Semi-furnished,1-5,10.0,29.0,1755.0,1.35,Sector 90,single
9244,S,Residential Apartment,2.0,2,2.0,6889.0,Unfurnished,5-10,1.0,2.0,929.0,0.64,Sector 82,single
9245,S,Residential Apartment,2.0,2,3.0,8666.0,Semi-furnished,0-1,4.0,14.0,1350.0,1.17,Sohna,single
9246,S,Independent/Builder Floor,3.0,3,2.0,7200.0,Semi-furnished,10+,1.0,3.0,1575.0,1.5,Sector 52,single
9247,S,Independent/Builder Floor,4.0,4,2.0,12162.0,Semi-furnished,0-1,0.0,4.0,1850.0,2.25,Sector 45,single
9248,S,Independent/Builder Floor,3.0,3,3.0,11333.0,Semi-furnished,0-1,1.0,4.0,1500.0,1.7,Sector 46,single
9249,S,Independent House/Villa,6.0,4,2.0,24509.803921568626,Semi-furnished,5-10,3.0,3.0,1836.0,4.5,Sector 46,multi
9250,S,Independent House/Villa,4.0,4,2.0,23420.479302832246,Semi-furnished,5-10,3.0,3.0,1836.0,4.3,Sector 45,multi
9251,S,Independent/Builder Floor,3.0,3,2.0,8846.0,Semi-furnished,0-1,2.0,4.0,1300.0,1.15,Sector 57,single
9253,S,Residential Apartment,3.0,3,4.0,15163.0,Semi-furnished,1-5,2.0,30.0,1490.0,1.31,Sector 79,single
9254,S,Independent/Builder Floor,3.0,3,1.0,8846.0,Semi-furnished,5-10,3.0,3.0,1300.0,1.15,Sector 52,single
9255,S,Residential Apartment,3.0,3,2.0,7027.0,Semi-furnished,10+,1.0,4.0,1850.0,1.3,Sector 55,single
9256,S,Independent/Builder Floor,2.0,2,2.0,7333.0,Semi-furnished,10+,2.0,3.0,1050.0,0.77,Sector 52,single
9257,S,Independent/Builder Floor,3.0,3,3.0,11333.0,Semi-furnished,0-1,1.0,4.0,1500.0,1.7,Sector 51,single
9258,S,Residential Apartment,3.0,3,3.0,8519.0,Unfurnished,1-5,10.0,29.0,1702.0,1.45,Sector 90,single
9259,S,Independent/Builder Floor,4.0,4,4.0,6961.0,Semi-furnished,Under Construction,2.0,4.0,2672.0,1.86,Sector 92,single
9260,S,Independent/Builder Floor,3.0,2,4.0,6481.0,Semi-furnished,Under Construction,2.0,4.0,1620.0,1.05,Sector 92,single
9261,S,Independent/Builder Floor,3.0,2,4.0,6172.0,Semi-furnished,Under Construction,4.0,4.0,1620.0,1.0,Sector 92,single
9262,S,Independent/Builder Floor,4.0,4,4.0,7452.0,Furnished,0-1,3.0,4.0,2200.0,1.64,Sector 91,single
9263,S,Independent/Builder Floor,4.0,4,4.0,7516.0,Furnished,0-1,2.0,4.0,2700.0,1.99,Sector 92,single
9264,S,Independent/Builder Floor,4.0,4,4.0,7856.0,Semi-furnished,0-1,2.0,4.0,2200.0,1.65,Sector 92,single
9265,S,Residential Apartment,4.0,4,3.0,7716.0,Unfurnished,1-5,14.0,26.0,3434.0,2.65,Sector 84,single
9266,S,Residential Apartment,2.0,2,2.0,6854.0,Semi-furnished,1-5,4.0,19.0,569.0,0.39,Sector 95A,single
9268,S,Residential Apartment,4.0,4,4.0,9400.0,Furnished,1-5,7.0,8.0,1950.0,1.6,Sector 77,single
9269,S,Independent/Builder Floor,2.0,2,2.0,3580.246913580247,Semi-furnished,0-1,2.0,3.0,1620.0,0.58,Sector 83,single
9270,S,Residential Apartment,4.0,5,4.0,7112.0,Semi-furnished,0-1,5.0,26.0,2812.0,2.0,Sector 85,single
9271,S,Residential Apartment,2.0,2,2.0,6400.0,Semi-furnished,1-5,6.0,13.0,625.0,0.4,Sector 86,single
9272,S,Residential Apartment,3.0,4,3.0,6644.0,Semi-furnished,0-1,15.0,26.0,2408.0,1.6,Sector 85,single
9273,S,Residential Apartment,3.0,3,3.0,7901.0,Unfurnished,1-5,17.0,24.0,2025.0,1.6,Sector 77,single
9274,S,Residential Apartment,3.0,3,3.0,8918.0,,1-5,6.0,16.0,1850.0,1.65,Sector 83,single
9275,S,Residential Apartment,2.0,2,2.0,8159.0,Unfurnished,Under Construction,3.0,4.0,1103.0,0.9,Sector 89,single
9276,S,Residential Apartment,2.0,2,1.0,9105.304829770388,Semi-furnished,Under Construction,19.0,32.0,1263.0,1.15,Sector 85,single
9277,S,Residential Apartment,3.0,4,3.0,8620.0,Semi-furnished,1-5,2.0,13.0,1450.0,1.25,Sector 77,single
9278,S,Residential Apartment,3.0,4,4.0,10554.0,Semi-furnished,1-5,7.0,21.0,1895.0,2.0,Sector 86,single
9279,S,Residential Apartment,2.0,2,3.0,7317.0,Unfurnished,1-5,10.0,18.0,1435.0,1.05,Sector 83,single
9280,S,Independent/Builder Floor,3.0,3,3.0,7631.0,Semi-furnished,1-5,4.0,4.0,1900.0,1.45,Sector 48,single
9281,S,Independent/Builder Floor,10.0,10,4.0,7740.0,Furnished,1-5,5.0,5.0,2855.0,2.21,C Block Sushant Lok Phase 1,single
9282,S,Independent/Builder Floor,9.0,9,4.0,6715.0,Furnished,1-5,5.0,5.0,2755.0,1.85,C Block Sushant Lok Phase 1,single
