,Sector,SW,NE,NW,SE,value
93,South City 1,"28.4187919,77.0439742","28.4188928,77.0440835","28.4188928,77.0439742","28.4187919,77.0440835",93
94,Sector 22,"28.4970534,77.0575714","28.5114759,77.0714703","28.5114759,77.0575714","28.4970534,77.0714703",94
95,Sector 95,"28.3949443,76.8914892","28.4349443,76.9314892","28.4349443,76.8914892","28.3949443,76.9314892",95
96,Mayfield Garden,"28.4165009,77.0553416","28.4265483,77.0685475","28.4265483,77.0553416","28.4165009,77.0685475",96
97,Rosewood,"28.4049893,77.0513496","28.4155534,77.0589847","28.4155534,77.0513496","28.4049893,77.0589847",97
98,Suncity,"28.4331657,77.1368380","28.4379444,77.1383352","28.4379444,77.1368380","28.4331657,77.1383352",98
99,Sector 76,"28.3710112,76.9700243","28.4110112,77.0100243","28.4110112,76.9700243","28.3710112,77.0100243",99
100,Sector 4,"28.4688345,77.0019787","28.4807364,77.0179221","28.4807364,77.0019787","28.4688345,77.0179221",100
101,Sector 15 Part 2,"28.3579916,77.0698301","28.3611956,77.0698535","28.3611956,77.0698301","28.3579916,77.0698535",101
102,Valley View Estate,"28.4334343,77.1347453","28.4379960,77.1376325","28.4379960,77.1347453","28.4334343,77.1376325",102
103,Sector 1,"28.3485815,76.9400968","28.3716597,76.9592194","28.3716597,76.9400968","28.3485815,76.9592194",103
104,sector 58,"28.4086456,77.1011878","28.4281810,77.1182005","28.4281810,77.1011878","28.4086456,77.1182005",104
105,Sector 91,"28.3937778,76.9086172","28.4084230,76.9313357","28.4084230,76.9086172","28.3937778,76.9313357",105
106,Sohna Road,"28.4549006,77.0264690","28.4592938,77.0292560","28.4592938,77.0264690","28.4549006,77.0292560",106
107,DLF CITY,"28.4611143,77.0798273","28.4677035,77.0896737","28.4677035,77.0798273","28.4611143,77.0896737",107
108,Sector 33,"28.4262264,77.0101187","28.4478757,77.0370191","28.4478757,77.0101187","28.4262264,77.0370191",108
109,Sector 73,"28.4008164,77.0092134","28.4220077,77.0233009","28.4220077,77.0092134","28.4008164,77.0233009",109
110,Bhondsi,"28.3304798,77.0418737","28.3704798,77.0818737","28.3704798,77.0418737","28.3304798,77.0818737",110
111,Greenwood City,"28.4408105,77.0581972","28.4500074,77.0654085","28.4500074,77.0581972","28.4408105,77.0654085",111
112,Sector 10A,"28.4358808,76.9972285","28.4509323,77.0175083","28.4509323,76.9972285","28.4358808,77.0175083",112
113,Sector 39,"28.4346743,77.0414743","28.4491446,77.0581972","28.4491446,77.0414743","28.4346743,77.0581972",113
114,Sector 77,"28.3632337,76.9625570","28.4032337,77.0025570","28.4032337,76.9625570","28.3632337,77.0025570",114
115,Sector 30,"28.4558177,77.0497732","28.4687352,77.0639896","28.4687352,77.0497732","28.4558177,77.0639896",115
116,New Colony,"28.4570389,77.0054286","28.4736808,77.0231263","28.4736808,77.0054286","28.4570389,77.0231263",116
117,Sector 15,"28.3794851,76.9096825","28.3867902,76.9240718","28.3867902,76.9096825","28.3794851,76.9240718",117
118,Sector 40,"28.4438734,77.0508629","28.4553050,77.0640544","28.4553050,77.0508629","28.4438734,77.0640544",118
119,Surat Nagar 1,"28.4819456,76.9986461","28.4852155,77.0062880","28.4852155,76.9986461","28.4819456,77.0062880",119
120,Sector 5,"28.3647873,76.9194192","28.3722399,76.9340449","28.3722399,76.9194192","28.3647873,76.9340449",120
121,Sector 78,"28.3621222,76.9613960","28.3838833,76.9830167","28.3838833,76.9613960","28.3621222,76.9830167",121
122,Sector 7 Extension,"28.4807712,77.0198992","28.5207712,77.0598992","28.5207712,77.0198992","28.4807712,77.0598992",122
123,Sector 9,"28.3799132,76.8787979","28.3871405,76.8934127","28.3871405,76.8787979","28.3799132,76.8934127",123
124,Sector 23A,"28.5021627,77.0362827","28.5101533,77.0575714","28.5101533,77.0362827","28.5021627,77.0575714",124
125,Mayfield garden,"28.4243723,77.0535539","28.4286463,77.0584137","28.4286463,77.0535539","28.4243723,77.0584137",125
126,Sector 38,"28.4286120,77.0336801","28.4460043,77.0492887","28.4460043,77.0336801","28.4286120,77.0492887",126
127,Sector 2,"28.5021117,77.0246723","28.5148941,77.0417925","28.5148941,77.0246723","28.5021117,77.0417925",127
128,Sector 95A,"28.4084230,76.9241277","28.4207947,76.9416780","28.4207947,76.9241277","28.4084230,76.9416780",128
129,Sector 41,"28.4500074,77.0559905","28.4639585,77.0716604","28.4639585,77.0559905","28.4500074,77.0716604",129
130,sector 28,"28.4679062,77.0715635","28.4814775,77.0946320","28.4814775,77.0715635","28.4679062,77.0946320",130
131,Southern Peripheral Road,"28.4019451,77.0378369","28.4023980,77.0387019","28.4023980,77.0378369","28.4019451,77.0387019",131
132,South City,"28.4497391,77.0512091","28.4697391,77.0712091","28.4697391,77.0512091","28.4497391,77.0712091",132
133,Sector 17,"28.4687352,77.0534223","28.4850655,77.0704200","28.4850655,77.0534223","28.4687352,77.0704200",133
134,Samaspur,"28.4068030,77.0459832","28.4468030,77.0859832","28.4468030,77.0459832","28.4068030,77.0859832",134
135,Kadarpur,"28.3902920,77.0556926","28.3939638,77.0661074","28.3939638,77.0556926","28.3902920,77.0661074",135
136,sector 83,"28.3862180,76.9608587","28.4051340,76.9825179","28.4051340,76.9608587","28.3862180,76.9825179",136
137,Pataudi Road,"28.3428790,76.7472376","28.3528790,76.7572376","28.3528790,76.7472376","28.3428790,76.7572376",137
138,Sector 21,"28.5067703,77.0664100","28.5202589,77.0804111","28.5202589,77.0664100","28.5067703,77.0804111",138
139,Sector 9A,"28.4634896,76.9881219","28.4764407,77.0054286","28.4764407,76.9881219","28.4634896,77.0054286",139
140,Sector 17B,"28.4172746,77.0910767","28.4314754,77.1053206","28.4314754,77.0910767","28.4172746,77.1053206",140
141,Chakkarpur,"28.4313338,77.0869961","28.4723706,77.0954593","28.4723706,77.0869961","28.4313338,77.0954593",141
142,Sector 7,"28.4570389,77.0054286","28.4736808,77.0231263","28.4736808,77.0054286","28.4570389,77.0231263",142
143,Ashok Vihar Phase 1,"28.4767161,77.0074408","28.5167161,77.0474408","28.5167161,77.0074408","28.4767161,77.0474408",143
144,Sector-5 Sohna,"28.2005681,77.0031377","28.4465841,77.2418683","28.4465841,77.0031377","28.2005681,77.2418683",144
145,sector 62,"28.3994698,77.0746581","28.4173299,77.0923553","28.4173299,77.0746581","28.3994698,77.0923553",145
146,Farrukh Nagar,"28.4448838,76.8193523","28.4449838,76.8194523","28.4449838,76.8193523","28.4448838,76.8194523",146
147,Sector 80,"28.3612242,76.9568038","28.3790600,76.9664843","28.3790600,76.9568038","28.3612242,76.9664843",147
148,Dayanand Colony,"28.4703674,77.0171064","28.4755730,77.0249314","28.4755730,77.0171064","28.4703674,77.0249314",148
149,Sector 17C,"28.4731043,77.0602131","28.4745909,77.0617161","28.4745909,77.0602131","28.4731043,77.0617161",149
150,Cyber City,"28.4930703,77.0842567","28.5030703,77.0942567","28.5030703,77.0842567","28.4930703,77.0942567",150
151,Patel Nagar,"28.4655141,77.0392443","28.4656141,77.0393443","28.4656141,77.0392443","28.4655141,77.0393443",151
152,Ramgarh,"28.3893131,77.0630673","28.3989813,77.0687747","28.3989813,77.0630673","28.3893131,77.0687747",152
153,Sector 64,"28.3714643,77.0561983","28.4114643,77.0961983","28.4114643,77.0561983","28.3714643,77.0961983",153
154,Jharsa,"28.4345323,77.0391372","28.4545323,77.0591372","28.4545323,77.0391372","28.4345323,77.0591372",154
155,Civil Lines,"28.4607321,77.0323281","28.4634826,77.0354811","28.4634826,77.0323281","28.4607321,77.0354811",155
156,Sector 10,"28.4358808,76.9972285","28.4509323,77.0175083","28.4509323,76.9972285","28.4358808,77.0175083",156
157,Sector 22B,"28.5081439,77.0655628","28.5089735,77.0664426","28.5089735,77.0655628","28.5081439,77.0664426",157
158,Gurgaon,"28.4890374,77.0111072","28.4891374,77.0112072","28.4891374,77.0111072","28.4890374,77.0112072",158
159,Dwarka Expressway,"28.4171897,76.9605926","28.4337314,76.9700847","28.4337314,76.9605926","28.4171897,76.9700847",159
160,Palam Vihar Extension,"28.4807712,77.0198992","28.5207712,77.0598992","28.5207712,77.0198992","28.4807712,77.0598992",160
161,Sector 1A,"28.2005681,76.6510198","28.5409048,77.2418683","28.5409048,76.6510198","28.2005681,77.2418683",161
